depth,latitude,longitude,time,thetao
0.494025,20,107,2/05/2009,25.143436
0.494025,20,107,3/05/2009,25.17127
0.494025,20,107,4/05/2009,25.287727
0.494025,20,107,5/05/2009,25.459852
0.494025,20,107,6/05/2009,25.56386
0.494025,20,107,7/05/2009,25.55507
0.494025,20,107,8/05/2009,25.514786
0.494025,20,107,9/05/2009,25.550676
0.494025,20,107,10/05/2009,25.732323
0.494025,20,107,11/05/2009,25.916899
0.494025,20,107,12/05/2009,26.173254
0.494025,20,107,13/05/2009,26.45378
0.494025,20,107,14/05/2009,26.477219
0.494025,20,107,15/05/2009,26.564379
0.494025,20,107,16/05/2009,26.72625
0.494025,20,107,17/05/2009,27.030212
0.494025,20,107,18/05/2009,27.183294
0.494025,20,107,19/05/2009,27.368603
0.494025,20,107,20/05/2009,27.611042
0.494025,20,107,21/05/2009,27.540728
0.494025,20,107,22/05/2009,27.419142
0.494025,20,107,23/05/2009,27.30488
0.494025,20,107,24/05/2009,27.335642
0.494025,20,107,25/05/2009,27.621296
0.494025,20,107,26/05/2009,27.848354
0.494025,20,107,27/05/2009,27.728233
0.494025,20,107,28/05/2009,27.894497
0.494025,20,107,29/05/2009,27.657917
0.494025,20,107,30/05/2009,27.282906
0.494025,20,107,31/05/2009,27.5085
0.494025,20,107,1/06/2009,27.578081
0.494025,20,107,2/06/2009,27.66158
0.494025,20,107,3/06/2009,27.819788
0.494025,20,107,4/06/2009,28.181616
0.494025,20,107,5/06/2009,28.612293
0.494025,20,107,6/06/2009,28.489243
0.494025,20,107,7/06/2009,28.563951
0.494025,20,107,8/06/2009,28.74633
0.494025,20,107,9/06/2009,28.997559
0.494025,20,107,10/06/2009,29.229744
0.494025,20,107,11/06/2009,29.445814
0.494025,20,107,12/06/2009,29.410656
0.494025,20,107,13/06/2009,29.730003
0.494025,20,107,14/06/2009,29.927763
0.494025,20,107,15/06/2009,29.93582
0.494025,20,107,16/06/2009,29.54396
0.494025,20,107,17/06/2009,29.451674
0.494025,20,107,18/06/2009,29.405529
0.494025,20,107,19/06/2009,29.458267
0.494025,20,107,20/06/2009,29.63625
0.494025,20,107,21/06/2009,29.700705
0.494025,20,107,22/06/2009,29.71682
0.494025,20,107,23/06/2009,29.793724
0.494025,20,107,24/06/2009,29.902126
0.494025,20,107,25/06/2009,30.048616
0.494025,20,107,26/06/2009,30.105747
0.494025,20,107,27/06/2009,30.042023
0.494025,20,107,28/06/2009,29.811304
0.494025,20,107,29/06/2009,29.54909
0.494025,20,107,30/06/2009,29.439955
0.494025,20,107,1/07/2009,29.508804
0.494025,20,107,2/07/2009,29.52858
0.494025,20,107,3/07/2009,29.443617
0.494025,20,107,4/07/2009,29.21656
0.494025,20,107,5/07/2009,28.940428
0.494025,20,107,6/07/2009,28.744865
0.494025,20,107,7/07/2009,28.758049
0.494025,20,107,8/07/2009,28.834223
0.494025,20,107,9/07/2009,28.958738
0.494025,20,107,10/07/2009,29.170414
0.494025,20,107,11/07/2009,29.607685
0.494025,20,107,12/07/2009,29.201178
0.494025,20,107,13/07/2009,28.966064
0.494025,20,107,14/07/2009,29.17774
0.494025,20,107,15/07/2009,29.313242
0.494025,20,107,16/07/2009,29.075197
0.494025,20,107,17/07/2009,28.953611
0.494025,20,107,18/07/2009,29.294197
0.494025,20,107,19/07/2009,29.155766
0.494025,20,107,20/07/2009,29.150639
0.494025,20,107,21/07/2009,29.300058
0.494025,20,107,22/07/2009,29.445814
0.494025,20,107,23/07/2009,29.33009
0.494025,20,107,24/07/2009,29.295662
0.494025,20,107,25/07/2009,29.338879
0.494025,20,107,26/07/2009,29.425306
0.494025,20,107,27/07/2009,29.401134
0.494025,20,107,28/07/2009,29.426771
0.494025,20,107,29/07/2009,29.272957
0.494025,20,107,30/07/2009,29.172613
0.494025,20,107,31/07/2009,29.27369
0.494025,20,107,1/08/2009,29.322763
0.494025,20,107,2/08/2009,29.668476
0.494025,20,107,3/08/2009,29.67214
0.494025,20,107,4/08/2009,29.715355
0.494025,20,107,5/08/2009,29.76809
0.494025,20,107,6/08/2009,29.787132
0.494025,20,107,7/08/2009,29.478043
0.494025,20,107,8/08/2009,29.371105
0.494025,20,107,9/08/2009,29.475113
0.494025,20,107,10/08/2009,29.686056
0.494025,20,107,11/08/2009,29.821558
0.494025,20,107,12/08/2009,29.773949
0.494025,20,107,13/08/2009,29.691183
0.494025,20,107,14/08/2009,29.674337
0.494025,20,107,15/08/2009,29.692648
0.494025,20,107,16/08/2009,29.734398
0.494025,20,107,17/08/2009,29.728539
0.494025,20,107,18/08/2009,29.724144
0.494025,20,107,19/08/2009,29.781273
0.494025,20,107,20/08/2009,29.917507
0.494025,20,107,21/08/2009,29.999542
0.494025,20,107,22/08/2009,30.129185
0.494025,20,107,23/08/2009,30.501999
0.494025,20,107,24/08/2009,30.658741
0.494025,20,107,25/08/2009,30.794975
0.494025,20,107,26/08/2009,30.893124
0.494025,20,107,27/08/2009,30.815485
0.494025,20,107,28/08/2009,30.723198
0.494025,20,107,29/08/2009,30.74224
0.494025,20,107,30/08/2009,30.792046
